date_nz,meeting_name,meet_no,race_no,race_id,advertised_start_nz,number,runner,barrier,jockey,weight,win_fx,place_fx,win_tote,place_tote,flucs,form,speedmap
2025-08-16,Ruakaka,2,2,5dcad9df-d733-44cc-8203-e001d6765d9a,2025-08-16 12:50:00,1,Saltburn,5,Vinnie Colgan,58.5,,,,,5.5→4.8→4.5,22346,Midfield
2025-08-16,Ruakaka,2,2,5dcad9df-d733-44cc-8203-e001d6765d9a,2025-08-16 12:50:00,2,Brego,3,Opie Bosson,58.5,,,,,4.2→2.6→2.8→2.7,6X33,Midfield
2025-08-16,Ruakaka,2,2,5dcad9df-d733-44cc-8203-e001d6765d9a,2025-08-16 12:50:00,3,Horrie,16,Unknown,58.5,,,,,,X0335,Back Marker
2025-08-16,Ruakaka,2,2,5dcad9df-d733-44cc-8203-e001d6765d9a,2025-08-16 12:50:00,4,Kudos,15,Unknown,58.5,,,,,,29,Back Marker
2025-08-16,Ruakaka,2,2,5dcad9df-d733-44cc-8203-e001d6765d9a,2025-08-16 12:50:00,5,Beau Luca,12,Tayla Mitchell,57.5,,,,,31.0→23.0→17.0,09387,Front Runner
2025-08-16,Ruakaka,2,2,5dcad9df-d733-44cc-8203-e001d6765d9a,2025-08-16 12:50:00,6,Man o' Slew,10,Masa Hashizume,58.5,,,,,17.0→17.0,,
2025-08-16,Ruakaka,2,2,5dcad9df-d733-44cc-8203-e001d6765d9a,2025-08-16 12:50:00,7,Play It Again Sam,9,Warren Kennedy,58.5,,,,,4.8→4.5→5.0,,
2025-08-16,Ruakaka,2,2,5dcad9df-d733-44cc-8203-e001d6765d9a,2025-08-16 12:50:00,8,Zenzero Girl,13,Joe Doyle,56.5,,,,,7.5→8.0,57655,Back Marker
2025-08-16,Ruakaka,2,2,5dcad9df-d733-44cc-8203-e001d6765d9a,2025-08-16 12:50:00,9,Katamuku,4,Sam McNab,56.5,,,,,7.5→8.0→12.0,,
2025-08-16,Ruakaka,2,2,5dcad9df-d733-44cc-8203-e001d6765d9a,2025-08-16 12:50:00,10,Withallmydream,2,Matthew Cameron,56.5,,,,,7.5→8.0→10.0,,
2025-08-16,Ruakaka,2,2,5dcad9df-d733-44cc-8203-e001d6765d9a,2025-08-16 12:50:00,11,Mimoso,10,Jack Taplin,53.5,,,,,61.0→67.0→101.0→91.0,8X,Back Marker
2025-08-16,Ruakaka,2,2,5dcad9df-d733-44cc-8203-e001d6765d9a,2025-08-16 12:50:00,12,I Dunnet,7,Wiremu Pinn,56,,,,,31.0→35.0→34.0,,
2025-08-16,Ruakaka,2,2,5dcad9df-d733-44cc-8203-e001d6765d9a,2025-08-16 12:50:00,13,Elphaba,1,Floor Moerman,56,,,,,17.0→27.0→14.0→15.0,40X,Midfield
2025-08-16,Ruakaka,2,2,5dcad9df-d733-44cc-8203-e001d6765d9a,2025-08-16 12:50:00,14,I'm Dreaming,6,Jasmine Fawcett,54,,,,,17.0→23.0→27.0→26.0,0X,Midfield
2025-08-16,Ruakaka,2,2,5dcad9df-d733-44cc-8203-e001d6765d9a,2025-08-16 12:50:00,15,Sailor Sam,11,Samantha Collett,56,,,,,31.0→41.0,66X9,Midfield
2025-08-16,Ruakaka,2,2,5dcad9df-d733-44cc-8203-e001d6765d9a,2025-08-16 12:50:00,16,Bella Vinda,8,Joe Nishizuka,53.5,,,,,61.0→67.0→126.0,007,Midfield
